file	path	bytes	classification
run_fusi_studio	run_fusi_studio.m	4509	KEEP_LAUNCHER_RUNTIME
scrubbing	scrubbing.m	17539	KEEP_ACTIVE_TOOLBOX_FILE
shortenMiddle	shortenMiddle.m	1016	KEEP_ACTIVE_TOOLBOX_FILE
showScmVideoSetupDialog	showScmVideoSetupDialog.m	25314	KEEP_ACTIVE_TOOLBOX_FILE
studio_load_options_dark_dialog	studio_load_options_dark_dialog.m	22185	KEEP_STUDIO_RUNTIME_HELPER
studio_mkdir	studio_mkdir.m	70	KEEP_ACTIVE_TOOLBOX_FILE
studio_resolve_paths	studio_resolve_paths.m	4346	KEEP_STUDIO_RUNTIME_HELPER
temporalsmoothing	temporalsmoothing.m	7096	KEEP_ACTIVE_TOOLBOX_FILE
tryReadSCMroiExportTxt	tryReadSCMroiExportTxt.m	1096	KEEP_ACTIVE_TOOLBOX_FILE
vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_COMMAND	vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_COMMAND.m	118216	KEEP_ACTIVE_TOOLBOX_FILE
vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_OBJECT	vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_OBJECT.m	29199	KEEP_ACTIVE_TOOLBOX_FILE
winter_brain_fsl	winter_brain_fsl.m	9712	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_reorder_FC_by_list	atlas_tools\deConfUSIon_reorder_FC_by_list.m	813	KEEP_ACTIVE_TOOLBOX_FILE
save_correct_colors	atlas_tools\save_correct_colors.m	1044	KEEP_ACTIVE_TOOLBOX_FILE
